frame_idx,elapsed_s,dropped
0,0.003,0
1,0.023,0
2,0.041,0
3,0.057,0
4,0.074,0
5,0.090,0
6,0.110,0
7,0.134,0
8,0.152,0
9,0.170,0
10,0.187,0
11,0.205,0
12,0.220,0
13,0.238,0
14,0.254,0
15,0.271,0
16,0.287,0
17,0.303,0
18,0.320,0
19,0.337,0
20,0.355,0
21,0.371,0
22,0.388,0
23,0.404,0
24,0.421,0
25,0.437,0
26,0.456,0
27,0.471,0
28,0.485,0
29,0.499,0
30,0.516,0
31,0.531,0
32,0.549,0
33,0.565,0
34,0.581,0
35,0.597,0
36,0.616,0
37,0.632,0
38,0.648,0
39,0.663,0
40,0.679,0
41,0.696,0
42,0.713,0
43,0.729,0
44,0.746,0
45,0.764,0
46,0.781,0
47,0.797,0
48,0.821,0
49,0.839,0
50,0.856,0
51,0.871,0
52,0.887,0
53,0.904,0
54,0.921,0
55,0.938,0
56,0.953,0
57,0.969,0
58,0.986,0
59,1.002,0
60,1.019,0
61,1.035,0
62,1.051,0
63,1.068,0
64,1.084,0
65,1.100,0
66,1.117,0
67,1.135,0
68,1.153,0
69,1.171,0
70,1.188,0
71,1.204,0
72,1.221,0
73,1.237,0
74,1.254,0
75,1.269,0
76,1.284,0
77,1.300,0
78,1.317,0
79,1.334,0
80,1.350,0
81,1.365,0
82,1.381,0
83,1.396,0
84,1.411,0
85,1.427,0
86,1.441,0
87,1.457,0
88,1.472,0
89,1.486,0
90,1.501,0
91,1.518,0
92,1.533,0
93,1.547,0
94,1.562,0
95,1.576,0
96,1.592,0
97,1.608,0
98,1.623,0
99,1.638,0
100,1.653,0
101,1.667,0
102,1.682,0
103,1.697,0
104,1.712,0
105,1.726,0
106,1.740,0
107,1.755,0
108,1.771,0
109,1.785,0
110,1.801,0
111,1.817,0
112,1.836,0
113,1.853,0
114,1.869,0
115,1.885,0
116,1.900,0
117,1.917,0
118,1.932,0
119,1.946,0
120,1.962,0
121,1.979,0
122,1.997,0
123,2.013,0
124,2.028,0
125,2.045,0
126,2.060,0
127,2.077,0
128,2.093,0
129,2.110,0
130,2.126,0
131,2.141,0
132,2.158,0
133,2.174,0
134,2.191,0
135,2.207,0
136,2.224,0
137,2.242,0
138,2.259,0
139,2.274,0
140,2.290,0
141,2.306,0
142,2.323,0
143,2.342,0
144,2.363,0
145,2.381,0
146,2.400,0
147,2.419,0
148,2.435,0
149,2.450,0
150,2.465,0
151,2.482,0
152,2.499,0
153,2.515,0
154,2.532,0
155,2.547,0
156,2.563,0
157,2.578,0
158,2.594,0
159,2.610,0
160,2.627,0
161,2.642,0
162,2.658,0
163,2.674,0
164,2.690,0
165,2.706,0
166,2.724,0
167,2.739,0
168,2.755,0
169,2.770,0
170,2.786,0
171,2.802,0
172,2.820,0
173,2.837,0
174,2.851,0
175,2.867,0
176,2.882,0
177,2.898,0
178,2.914,0
179,2.930,0
180,2.947,0
181,2.964,0
182,2.981,0
183,2.999,0
184,3.015,0
185,3.031,0
186,3.049,0
187,3.064,0
188,3.080,0
189,3.097,0
190,3.112,0
191,3.128,0
192,3.145,0
193,3.161,0
194,3.178,0
195,3.192,0
196,3.210,0
197,3.226,0
198,3.242,0
199,3.262,0
200,3.282,0
201,3.300,0
202,3.316,0
203,3.333,0
204,3.348,0
205,3.364,0
206,3.380,0
207,3.395,0
208,3.411,0
209,3.429,0
210,3.446,0
211,3.459,0
212,3.475,0
213,3.489,0
214,3.506,0
215,3.522,0
216,3.537,0
217,3.554,0
218,3.569,0
219,3.583,0
220,3.600,0
221,3.615,0
222,3.631,0
223,3.647,0
224,3.663,0
225,3.677,0
226,3.692,0
227,3.707,0
228,3.725,0
229,3.740,0
230,3.755,0
231,3.770,0
232,3.785,0
233,3.801,0
234,3.817,0
235,3.832,0
236,3.847,0
237,3.865,0
238,3.880,0
239,3.896,0
240,3.913,0
241,3.929,0
242,3.945,0
243,3.960,0
244,3.976,0
245,3.993,0
246,4.013,0
247,4.027,0
248,4.043,0
249,4.059,0
250,4.075,0
251,4.092,0
252,4.111,0
253,4.126,0
254,4.144,0
255,4.162,0
256,4.181,0
257,4.196,0
258,4.213,0
259,4.230,0
260,4.248,0
261,4.265,0
262,4.282,0
263,4.297,0
264,4.314,0
265,4.330,0
266,4.346,0
267,4.363,0
268,4.379,0
269,4.395,0
270,4.412,0
271,4.429,0
272,4.444,0
273,4.457,0
274,4.474,0
275,4.489,0
276,4.505,0
277,4.521,0
278,4.537,0
279,4.553,0
280,4.569,0
281,4.585,0
282,4.601,0
283,4.617,0
284,4.634,0
285,4.649,0
286,4.665,0
287,4.680,0
288,4.695,0
289,4.712,0
290,4.728,0
291,4.744,0
292,4.759,0
293,4.776,0
294,4.791,0
295,4.807,0
296,4.823,0
297,4.837,0
298,4.852,0
299,4.869,0
300,4.884,0
301,4.903,0
302,4.919,0
303,4.936,0
304,4.953,0
305,4.971,0
306,4.987,0
307,5.005,0
308,5.020,0
309,5.037,0
310,5.054,0
311,5.069,0
312,5.087,0
313,5.106,0
314,5.128,0
315,5.146,0
316,5.162,0
317,5.177,0
318,5.196,0
319,5.213,0
320,5.230,0
321,5.247,0
322,5.263,0
323,5.277,0
324,5.294,0
325,5.309,0
326,5.326,0
327,5.342,0
328,5.358,0
329,5.375,0
330,5.390,0
331,5.408,0
332,5.425,0
333,5.443,0
334,5.460,0
335,5.475,0
336,5.490,0
337,5.506,0
338,5.524,0
339,5.539,0
340,5.553,0
341,5.569,0
342,5.586,0
343,5.604,0
344,5.621,0
345,5.638,0
346,5.653,0
347,5.669,0
348,5.685,0
349,5.703,0
350,5.719,0
351,5.735,0
352,5.750,0
353,5.765,0
354,5.781,0
355,5.797,0
356,5.815,0
357,5.831,0
358,5.849,0
359,5.864,0
360,5.879,0
361,5.896,0
362,5.912,0
363,5.929,0
364,5.946,0
365,5.962,0
366,5.979,0
367,5.996,0
368,6.015,0
369,6.032,0
370,6.047,0
371,6.063,0
372,6.080,0
373,6.096,0
374,6.113,0
375,6.129,0
376,6.148,0
377,6.164,0
378,6.180,0
379,6.196,0
380,6.212,0
381,6.229,0
382,6.244,0
383,6.259,0
384,6.275,0
385,6.290,0
386,6.309,0
387,6.326,0
388,6.342,0
389,6.357,0
390,6.374,0
391,6.389,0
392,6.406,0
393,6.423,0
394,6.438,0
395,6.455,0
396,6.472,0
397,6.488,0
398,6.504,0
399,6.522,0
400,6.537,0
401,6.553,0
402,6.568,0
403,6.584,0
404,6.601,0
405,6.616,0
406,6.633,0
407,6.647,0
408,6.663,0
409,6.678,0
410,6.695,0
411,6.713,0
412,6.729,0
413,6.745,0
414,6.760,0
415,6.776,0
416,6.792,0
417,6.808,0
418,6.825,0
419,6.840,0
420,6.857,0
421,6.873,0
422,6.888,0
423,6.903,0
424,6.920,0
425,6.938,0
426,6.955,0
427,6.971,0
428,6.986,0
429,7.004,0
430,7.020,0
431,7.036,0
432,7.051,0
433,7.069,0
434,7.085,0
435,7.101,0
436,7.119,0
437,7.135,0
438,7.151,0
439,7.168,0
440,7.184,0
441,7.202,0
442,7.219,0
443,7.235,0
444,7.252,0
445,7.267,0
446,7.283,0
447,7.299,0
448,7.317,0
449,7.334,0
450,7.351,0
451,7.366,0
452,7.383,0
453,7.400,0
454,7.419,0
455,7.435,0
456,7.450,0
457,7.466,0
458,7.482,0
459,7.499,0
460,7.516,0
461,7.532,0
462,7.547,0
463,7.565,0
464,7.583,0
465,7.601,0
466,7.618,0
467,7.635,0
468,7.651,0
469,7.667,0
470,7.681,0
471,7.697,0
472,7.713,0
473,7.730,0
474,7.747,0
475,7.764,0
476,7.780,0
477,7.798,0
478,7.814,0
479,7.830,0
480,7.847,0
481,7.863,0
482,7.878,0
483,7.895,0
484,7.912,0
485,7.928,0
486,7.943,0
487,7.959,0
488,7.976,0
489,7.994,0
490,8.011,0
491,8.027,0
492,8.044,0
493,8.061,0
494,8.076,0
495,8.093,0
496,8.109,0
497,8.126,0
498,8.144,0
499,8.161,0
500,8.178,0
501,8.195,0
502,8.212,0
503,8.229,0
504,8.244,0
505,8.260,0
506,8.276,0
507,8.293,0
508,8.311,0
509,8.328,0
510,8.344,0
511,8.360,0
512,8.376,0
513,8.393,0
514,8.410,0
515,8.427,0
516,8.443,0
517,8.458,0
518,8.474,0
519,8.490,0
520,8.508,0
521,8.525,0
522,8.541,0
523,8.557,0
524,8.575,0
525,8.592,0
526,8.609,0
527,8.627,0
528,8.645,0
529,8.660,0
530,8.676,0
531,8.693,0
532,8.708,0
533,8.726,0
534,8.743,0
535,8.760,0
536,8.776,0
537,8.792,0
538,8.810,0
539,8.826,0
540,8.844,0
541,8.860,0
542,8.876,0
543,8.892,0
544,8.910,0
545,8.927,0
546,8.944,0
547,8.960,0
548,8.975,0
549,8.993,0
550,9.010,0
551,9.027,0
552,9.045,0
553,9.061,0
554,9.078,0
555,9.094,0
556,9.112,0
557,9.131,0
558,9.148,0
559,9.169,0
560,9.185,0
561,9.204,0
562,9.219,0
563,9.236,0
564,9.252,0
565,9.268,0
566,9.285,0
567,9.302,0
568,9.318,0
569,9.334,0
570,9.351,0
571,9.366,0
572,9.382,0
573,9.398,0
574,9.415,0
575,9.432,0
576,9.447,0
577,9.463,0
578,9.477,0
579,9.493,0
580,9.511,0
581,9.527,0
582,9.542,0
583,9.559,0
584,9.574,0
585,9.590,0
586,9.607,0
587,9.622,0
588,9.639,0
589,9.655,0
590,9.672,0
591,9.690,0
592,9.709,0
593,9.725,0
594,9.740,0
595,9.755,0
596,9.772,0
597,9.788,0
598,9.804,0
599,9.821,0
600,9.838,0
601,9.855,0
602,9.871,0
603,9.886,0
604,9.904,0
605,9.919,0
606,9.937,0
607,9.951,0
608,9.967,0
609,9.983,0
610,9.999,0
611,10.016,0
612,10.033,0
613,10.048,0
614,10.065,0
615,10.080,0
616,10.097,0
617,10.124,0
618,10.142,0
619,10.161,0
620,10.178,0
621,10.195,0
622,10.213,0
623,10.228,0
624,10.244,0
625,10.260,0
626,10.277,0
627,10.293,0
628,10.311,0
629,10.328,0
630,10.344,0
631,10.360,0
632,10.377,0
633,10.393,0
634,10.409,0
635,10.424,0
636,10.440,0
637,10.456,0
638,10.473,0
639,10.491,0
640,10.509,0
641,10.524,0
642,10.540,0
643,10.556,0
644,10.572,0
645,10.587,0
646,10.605,0
647,10.620,0
648,10.635,0
649,10.651,0
650,10.666,0
651,10.681,0
652,10.700,0
653,10.715,0
654,10.730,0
655,10.745,0
656,10.764,0
657,10.780,0
658,10.798,0
659,10.815,0
660,10.830,0
661,10.846,0
662,10.861,0
663,10.877,0
664,10.893,0
665,10.909,0
666,10.924,0
667,10.942,0
668,10.957,0
669,10.975,0
670,10.992,0
671,11.007,0
672,11.024,0
673,11.040,0
674,11.057,0
675,11.074,0
676,11.090,0
677,11.105,0
678,11.121,0
679,11.139,0
680,11.156,0
681,11.173,0
682,11.190,0
683,11.206,0
684,11.220,0
685,11.235,0
686,11.252,0
687,11.268,0
688,11.284,0
689,11.302,0
690,11.319,0
691,11.335,0
692,11.351,0
693,11.366,0
694,11.382,0
695,11.397,0
696,11.414,0
697,11.431,0
698,11.447,0
699,11.464,0
700,11.479,0
701,11.497,0
702,11.515,0
703,11.531,0
704,11.547,0
705,11.562,0
706,11.578,0
707,11.594,0
708,11.609,0
709,11.625,0
710,11.642,0
711,11.658,0
712,11.674,0
713,11.691,0
714,11.707,0
715,11.723,0
716,11.738,0
717,11.754,0
718,11.771,0
719,11.788,0
720,11.805,0
721,11.822,0
722,11.838,0
723,11.854,0
724,11.871,0
725,11.888,0
726,11.904,0
727,11.921,0
728,11.937,0
729,11.952,0
730,11.968,0
731,11.985,0
732,12.000,0
733,12.015,0
734,12.033,0
735,12.048,0
736,12.063,0
737,12.078,0
738,12.094,0
739,12.111,0
740,12.129,0
741,12.146,0
742,12.165,0
743,12.182,0
744,12.199,0
745,12.215,0
746,12.229,0
747,12.244,0
748,12.260,0
749,12.276,0
750,12.292,0
751,12.309,0
752,12.324,0
753,12.340,0
754,12.355,0
755,12.371,0
756,12.386,0
757,12.402,0
758,12.420,0
759,12.438,0
760,12.454,0
761,12.471,0
762,12.486,0
763,12.502,0
764,12.518,0
765,12.535,0
766,12.552,0
767,12.569,0
768,12.583,0
769,12.601,0
770,12.618,0
771,12.634,0
772,12.649,0
773,12.665,0
774,12.679,0
775,12.694,0
776,12.711,0
777,12.727,0
778,12.743,0
779,12.759,0
780,12.774,0
781,12.791,0
782,12.808,0
783,12.826,0
784,12.842,0
785,12.858,0
786,12.875,0
787,12.892,0
788,12.908,0
789,12.924,0
790,12.941,0
791,12.956,0
792,12.971,0
793,12.990,0
794,13.008,0
795,13.024,0
796,13.042,0
797,13.058,0
798,13.074,0
799,13.091,0
800,13.110,0
801,13.127,0
802,13.145,0
803,13.162,0
804,13.180,0
805,13.197,0
806,13.214,0
807,13.230,0
808,13.246,0
809,13.260,0
810,13.275,0
811,13.291,0
812,13.308,0
813,13.324,0
814,13.339,0
815,13.355,0
816,13.369,0
817,13.383,0
818,13.400,0
819,13.415,0
820,13.428,0
821,13.445,0
822,13.461,0
823,13.476,0
824,13.494,0
825,13.528,0
826,13.544,0
827,13.561,0
828,13.575,0
829,13.592,0
830,13.609,0
831,13.625,0
832,13.641,0
833,13.656,0
834,13.671,0
835,13.688,0
836,13.705,0
837,13.721,0
838,13.736,0
839,13.749,0
840,13.763,0
841,13.779,0
842,13.796,0
843,13.812,0
844,13.826,0
845,13.841,0
846,13.856,0
847,13.871,0
848,13.885,0
849,13.901,0
850,13.916,0
851,13.931,0
852,13.947,0
853,13.962,0
854,13.978,0
855,13.993,0
856,14.009,0
857,14.026,0
858,14.045,0
859,14.061,0
860,14.078,0
861,14.096,0
862,14.113,0
863,14.130,0
864,14.147,0
865,14.164,0
866,14.181,0
867,14.200,0
868,14.217,0
869,14.233,0
870,14.248,0
871,14.263,0
872,14.277,0
873,14.293,0
874,14.310,0
875,14.327,0
876,14.343,0
877,14.358,0
878,14.374,0
879,14.391,0
880,14.409,0
881,14.424,0
882,14.438,0
883,14.454,0
884,14.469,0
885,14.485,0
886,14.503,0
887,14.520,0
888,14.535,0
889,14.550,0
890,14.565,0
891,14.581,0
892,14.597,0
893,14.612,0
894,14.626,0
895,14.642,0
896,14.658,0
897,14.673,0
898,14.689,0
899,14.705,0
900,14.721,0
901,14.737,0
902,14.754,0
903,14.771,0
904,14.788,0
905,14.804,0
906,14.821,0
907,14.836,0
908,14.853,0
909,14.870,0
910,14.885,0
911,14.900,0
912,14.917,0
913,14.933,0
914,14.949,0
915,14.968,0
