elapsed_s,err_x_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.000,0,0,1500,1500,0.41,-0.27,2.8467,1.3102,7.1121,0
0.017,0,0,1500,1500,0.41,-0.27,2.8467,1.3102,7.1121,0
0.034,0,0,1500,1500,0.41,-0.27,2.8467,1.3102,7.1121,0
0.051,0,0,1500,1500,0.41,-0.27,2.8467,1.3102,7.1121,0
0.068,60,-26,1650,1350,0.41,-0.27,2.8467,1.3102,7.1121,1
0.186,0,0,1500,1500,2.84,-2.39,2.8467,1.3102,7.1121,0
0.203,0,0,1500,1500,2.84,-2.39,2.8467,1.3102,7.1121,0
0.220,0,0,1500,1500,2.84,-2.39,2.8467,1.3102,7.1121,0
0.237,0,0,1500,1500,2.84,-2.39,2.7481,2.1081,6.5159,0
0.253,0,0,1500,1500,2.84,-2.39,2.7481,2.1081,6.5159,0
0.270,0,0,1500,1500,2.84,-2.39,2.7481,2.1081,6.5159,0
0.287,0,0,1500,1500,2.84,-2.39,2.7481,2.1081,6.5159,0
0.304,0,0,1500,1500,2.84,-2.39,2.7481,2.1081,6.5159,0
0.322,0,0,1500,1500,2.84,-2.39,2.7481,2.1081,6.5159,0
0.339,62,-26,1580,1420,2.84,-2.39,2.7481,2.1081,6.5159,0
0.356,61,-26,1498,1495,2.84,-2.39,2.7481,2.1081,6.5159,0
0.373,0,0,1498,1495,2.84,-2.39,2.7481,2.1081,6.5159,0
0.391,0,0,1498,1495,2.84,-2.39,2.7481,2.1081,6.5159,0
0.408,0,0,1498,1495,2.84,-2.39,2.7481,2.1081,6.5159,0
0.425,59,-26,1501,1495,1.73,-1.65,2.7481,2.1081,6.5159,1
0.442,0,0,1501,1495,1.73,-1.65,2.7481,2.1081,6.5159,0
0.459,0,0,1501,1495,1.73,-1.65,2.7481,2.1081,6.5159,0
0.476,0,0,1501,1495,1.73,-1.65,2.7481,2.1081,6.5159,0
0.493,0,0,1501,1495,1.73,-1.65,2.8160,2.1631,6.9642,0
0.510,0,0,1501,1495,1.73,-1.65,2.8160,2.1631,6.9642,0
0.527,0,0,1500,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.544,0,0,1500,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.561,0,0,1500,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.578,0,0,1500,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.595,54,-25,1461,1500,1.73,-1.65,2.8160,2.1631,6.9642,1
0.613,0,0,1461,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.630,0,0,1461,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.647,0,0,1461,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.664,0,0,1461,1500,1.73,-1.65,2.8160,2.1631,6.9642,0
0.681,0,0,1461,1500,-0.08,-0.18,2.8160,2.1631,6.9642,0
0.698,49,-25,1498,1495,-0.08,-0.18,2.8160,2.1631,6.9642,1
0.715,48,-25,1497,1495,-0.08,-0.18,2.8160,2.1631,6.9642,1
0.732,47,-25,1496,1495,-0.08,-0.18,2.2974,2.1963,5.9037,1
0.749,0,0,1496,1495,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.766,0,0,1496,1495,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.783,0,0,1496,1495,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.800,44,-25,1498,1495,-0.08,-0.18,2.2974,2.1963,5.9037,1
0.818,44,-24,1504,1500,-0.08,-0.18,2.2974,2.1963,5.9037,1
0.835,43,-24,1496,1496,-0.08,-0.18,2.2974,2.1963,5.9037,1
0.852,0,0,1496,1496,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.869,0,0,1496,1496,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.886,0,0,1496,1496,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.903,0,0,1496,1496,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.920,0,0,1496,1496,-0.08,-0.18,2.2974,2.1963,5.9037,0
0.937,0,0,1500,1500,-0.05,-0.06,2.2974,2.1963,5.9037,0
0.954,38,-24,1459,1496,-0.05,-0.06,2.2974,2.1963,5.9037,1
0.971,38,-24,1503,1496,-0.05,-0.06,2.2974,2.1963,5.9037,1
0.988,37,-24,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,1
1.005,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.023,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.040,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.057,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.075,34,-24,1499,1496,-0.05,-0.06,2.3349,1.9926,5.8430,1
1.092,33,-24,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,1
1.109,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.126,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.143,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.160,0,0,1495,1496,-0.05,-0.06,2.3349,1.9926,5.8430,0
1.177,0,0,1495,1496,-0.00,-0.01,2.3349,1.9926,5.8430,0
1.194,28,-23,1496,1497,-0.00,-0.01,2.3349,1.9926,5.8430,1
1.211,0,0,1496,1497,-0.00,-0.01,2.3349,1.9926,5.8430,0
1.228,0,0,1496,1497,-0.00,-0.01,2.3349,1.9926,5.8430,0
1.245,0,0,1496,1497,-0.00,-0.01,2.5853,2.3491,5.9655,0
1.262,0,0,1496,1497,-0.00,-0.01,2.5853,2.3491,5.9655,0
1.279,26,-23,1500,1496,-0.00,-0.01,2.5853,2.3491,5.9655,1
1.296,25,-23,1494,1496,-0.00,-0.01,2.5853,2.3491,5.9655,1
1.313,0,0,1494,1496,-0.00,-0.01,2.5853,2.3491,5.9655,0
1.330,0,0,1494,1496,-0.00,-0.01,2.5853,2.3491,5.9655,0
1.347,0,0,1494,1496,-0.00,-0.01,2.5853,2.3491,5.9655,0
1.364,0,0,1494,1496,-0.00,-0.01,2.5853,2.3491,5.9655,0
1.381,23,-23,1499,1496,-0.00,-0.01,2.5853,2.3491,5.9655,1
1.398,22,-23,1494,1496,-0.00,-0.01,2.5853,2.3491,5.9655,1
1.415,0,0,1494,1496,-0.00,-0.01,2.5853,2.3491,5.9655,0
1.432,0,0,1494,1496,0.02,-0.05,2.5853,2.3491,5.9655,0
1.449,0,0,1494,1496,0.02,-0.05,2.5853,2.3491,5.9655,0
1.466,0,0,1494,1496,0.02,-0.05,2.5853,2.3491,5.9655,0
1.483,20,-23,1499,1496,0.02,-0.05,2.5853,2.3491,5.9655,1
1.500,20,-23,1502,1496,0.02,-0.05,2.4360,2.6359,5.9004,1
1.517,20,-23,1502,1496,0.02,-0.05,2.4360,2.6359,5.9004,1
1.534,0,0,1502,1496,0.02,-0.05,2.4360,2.6359,5.9004,0
1.551,0,0,1502,1496,0.02,-0.05,2.4360,2.6359,5.9004,0
1.568,0,0,1502,1496,0.02,-0.05,2.4360,2.6359,5.9004,0
1.585,0,0,1502,1496,0.02,-0.05,2.4360,2.6359,5.9004,0
1.602,0,0,1502,1496,0.02,-0.05,2.4360,2.6359,5.9004,0
1.619,17,-22,1498,1497,0.02,-0.05,2.4360,2.6359,5.9004,1
1.636,17,-22,1501,1496,0.02,-0.05,2.4360,2.6359,5.9004,1
1.654,16,-23,1494,1490,0.02,-0.05,2.4360,2.6359,5.9004,1
1.671,0,0,1494,1490,0.03,-0.04,2.4360,2.6359,5.9004,0
1.688,0,0,1494,1490,0.03,-0.04,2.4360,2.6359,5.9004,0
1.705,0,0,1494,1490,0.03,-0.04,2.4360,2.6359,5.9004,0
1.722,0,0,1494,1490,0.03,-0.04,2.4360,2.6359,5.9004,0
1.739,0,0,1494,1490,0.03,-0.04,2.1800,2.5899,5.2683,0
1.757,14,-22,1499,1497,0.03,-0.04,2.1800,2.5899,5.2683,1
1.774,13,-22,1493,1496,0.03,-0.04,2.1800,2.5899,5.2683,1
1.791,13,-22,1501,1496,0.03,-0.04,2.1800,2.5899,5.2683,1
1.808,13,-22,1501,1496,0.03,-0.04,2.1800,2.5899,5.2683,1
1.825,0,0,1501,1496,0.03,-0.04,2.1800,2.5899,5.2683,0
1.842,0,0,1501,1496,0.03,-0.04,2.1800,2.5899,5.2683,0
1.859,0,0,1501,1496,0.03,-0.04,2.1800,2.5899,5.2683,0
1.876,0,0,1501,1496,0.03,-0.04,2.1800,2.5899,5.2683,0
1.893,0,0,1501,1496,0.03,-0.04,2.1800,2.5899,5.2683,0
