attempt,align_time_s,total_abs_err_px,rms_vib
1,0.07,0,7.7719
2,0.24,175,7.4366
3,0.15,0,7.7220
4,0.08,0,7.8172
5,0.05,0,6.7049
6,0.10,0,6.7049
7,0.07,0,6.6002
8,0.09,0,6.6002
9,0.07,0,6.8361
10,0.07,0,6.9130
11,0.07,0,6.9130
12,0.09,0,6.9063
13,0.09,0,6.6561
14,0.09,0,6.2622
15,0.10,0,7.2603
16,0.09,0,7.2603
17,0.07,0,6.5889
18,0.07,0,6.5889
19,0.05,0,6.9545
20,0.05,0,7.1303
21,0.05,0,7.1303
22,0.05,0,7.4189
23,0.07,0,7.5590
24,0.05,0,7.5590
25,0.05,0,7.2752
26,0.07,0,7.1291
27,0.05,0,7.1291
28,0.05,0,7.3718
29,0.07,0,7.4902
30,0.07,0,7.4902
31,0.19,0,6.9478
32,0.09,0,7.4992
33,0.10,0,7.4992
34,0.08,0,7.6603
35,0.19,0,7.5926
36,0.27,0,7.2031
