elapsed_s,err_x_px,err_pitch_px,marker_px,err_x_cm,distance_cm,lateral_thr_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.000,22,-32,39,1.69,73.10,210.3,1584,1400,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.017,22,-32,39,1.69,73.10,210.3,1545,1432,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.035,25,-32,39,1.92,73.10,210.3,1536,1460,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.052,26,-32,39,2.00,73.10,210.3,1525,1475,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.069,27,-33,38,2.13,75.02,210.7,1522,1478,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.086,29,-33,38,2.29,75.02,210.7,1522,1478,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.103,30,-33,38,2.37,75.02,210.7,1522,1478,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.120,31,-33,38,2.45,75.02,210.7,1522,1478,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.137,32,-33,38,2.53,75.02,210.7,1522,1478,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.154,32,-33,38,2.53,75.02,210.7,1522,1478,-0.36,-0.38,2.4654,3.4523,7.0836,0
0.171,32,-33,38,2.53,75.02,210.7,1522,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.188,32,-33,38,2.53,75.02,210.7,1522,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.205,31,-33,38,2.45,75.02,210.7,1522,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.222,30,-33,38,2.37,75.02,210.7,1522,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.239,29,-33,38,2.29,75.02,210.7,1522,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.256,28,-33,38,2.21,75.02,210.7,1500,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.273,27,-33,38,2.13,75.02,210.7,1500,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.290,26,-33,38,2.05,75.02,210.7,1500,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.307,25,-33,38,1.97,75.02,210.7,1500,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.324,23,-33,38,1.82,75.02,210.7,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.341,21,-33,38,1.66,75.02,210.7,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.359,20,-33,38,1.58,75.02,210.7,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.376,18,-33,38,1.42,75.02,210.7,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.393,16,-34,37,1.30,77.05,211.0,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.410,15,-34,37,1.22,77.05,211.0,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.427,13,-34,37,1.05,77.05,211.0,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.444,11,-34,37,0.89,77.05,211.0,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.461,9,-34,37,0.73,77.05,211.0,1478,1478,0.07,-0.99,2.4654,3.4523,7.0836,0
0.478,8,-34,37,0.65,77.05,211.0,1478,1478,0.07,-0.99,2.5172,3.1093,8.5780,0
0.495,7,-34,37,0.57,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.512,5,-34,37,0.41,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.530,4,-34,37,0.32,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.547,3,-34,37,0.24,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.564,2,-34,37,0.16,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.581,0,-34,37,0.00,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.599,-2,-34,37,-0.16,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.616,-3,-34,37,-0.24,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
0.633,-4,-34,37,-0.32,77.05,211.0,1478,1478,-0.12,-0.49,2.5172,3.1093,8.5780,0
