elapsed_s,err_x_px,err_pitch_px,marker_px,err_x_cm,distance_cm,lateral_thr_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,vib_x,vib_y,vib_z,aligned
0.000,-6,-30,41,-0.44,69.53,209.6,1477,1400,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.018,-6,-30,41,-0.44,69.53,209.6,1478,1422,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.035,-6,-30,41,-0.44,69.53,209.6,1478,1449,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.052,-6,-30,41,-0.44,69.53,209.6,1478,1463,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.069,-7,-30,41,-0.51,69.53,209.6,1478,1470,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.086,-7,-30,41,-0.51,69.53,209.6,1478,1473,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.103,-7,-30,41,-0.51,69.53,209.6,1478,1475,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.120,-8,-30,41,-0.59,69.53,209.6,1478,1476,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.137,-8,-30,41,-0.59,69.53,209.6,1478,1476,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.154,-8,-30,41,-0.59,69.53,209.6,1478,1476,-0.95,0.69,-120.04,2.6850,3.0013,7.1860,0
0.171,-7,-30,41,-0.51,69.53,209.6,1522,1476,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.188,-7,-31,40,-0.53,71.27,210.0,1500,1472,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.205,-7,-30,41,-0.51,69.53,209.6,1478,1478,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.222,-7,-30,41,-0.51,69.53,209.6,1478,1477,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.239,-7,-30,41,-0.51,69.53,209.6,1478,1477,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.256,-7,-30,41,-0.51,69.53,209.6,1478,1477,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.274,-7,-30,41,-0.51,69.53,209.6,1478,1477,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.291,-7,-30,41,-0.51,69.53,209.6,1478,1476,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.308,-7,-30,41,-0.51,69.53,209.6,1478,1476,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.325,-8,-30,41,-0.59,69.53,209.6,1478,1476,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.342,-8,-30,41,-0.59,69.53,209.6,1478,1476,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.360,-9,-30,41,-0.66,69.53,209.6,1478,1476,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.377,-9,-30,41,-0.66,69.53,209.6,1478,1476,-0.99,0.22,-120.37,2.6850,3.0013,7.1860,0
0.394,-10,-30,41,-0.73,69.53,209.6,1478,1476,-0.99,0.22,-120.37,3.0102,2.3188,7.9892,0
