elapsed_s,err_x_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.000,0,0,1500,1500,-0.54,1.18,1.7014,3.3320,5.9163,0
0.017,0,0,1500,1500,-0.54,1.18,1.7014,3.3320,5.9163,0
0.034,49,-25,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,1
0.051,49,-25,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,1
0.068,49,-25,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,1
0.085,49,-25,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,1
0.102,49,-25,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,1
0.119,0,0,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,0
0.136,0,0,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,0
0.153,0,0,1510,1489,-0.54,1.18,1.7014,3.3320,5.9163,0
0.170,0,0,1510,1489,-0.41,1.22,1.7014,3.3320,5.9163,0
0.188,0,0,1510,1489,-0.41,1.22,1.7014,3.3320,5.9163,0
0.205,0,0,1510,1489,-0.41,1.22,1.7014,3.3320,5.9163,0
0.222,0,0,1510,1489,-0.41,1.22,1.7014,3.3320,5.9163,0
0.239,0,0,1510,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.256,0,0,1510,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.273,0,0,1510,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.290,0,0,1510,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.308,0,0,1510,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.325,52,-25,1511,1489,-0.41,1.22,3.0827,3.7515,8.5102,1
0.342,0,0,1511,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.360,0,0,1511,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.377,0,0,1511,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.394,0,0,1511,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.411,0,0,1511,1489,-0.41,1.22,3.0827,3.7515,8.5102,0
0.428,0,0,1511,1489,-0.48,1.41,3.0827,3.7515,8.5102,0
0.446,52,-25,1511,1489,-0.48,1.41,3.0827,3.7515,8.5102,1
0.463,52,-25,1511,1489,-0.48,1.41,3.0827,3.7515,8.5102,1
0.480,52,-25,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,1
0.497,52,-25,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,1
0.514,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.531,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.548,52,-25,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,1
0.565,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.582,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.600,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.617,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.634,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.651,0,0,1511,1489,-0.48,1.41,2.3596,2.9761,7.1600,0
0.668,0,0,1511,1489,-0.40,1.61,2.3596,2.9761,7.1600,0
