attempt,align_time_s,total_abs_err_px,rms_vib
1,0.03,0,6.9999
2,0.21,0,8.5146
3,0.10,0,9.7979
4,0.03,0,8.1050
5,0.20,0,8.0980
6,0.02,0,8.0772
7,0.07,0,8.0772
8,0.02,0,8.0772
9,0.22,0,9.7079
10,0.02,0,9.7079
11,0.05,0,9.4859
12,0.17,0,9.3383
13,0.02,0,7.8867
14,0.02,0,7.8867
15,0.19,0,7.9060
16,0.02,0,7.9395
17,0.17,0,8.1345
18,0.03,0,8.8717
19,0.19,0,8.6403
20,0.14,0,8.2197
21,0.14,0,8.6889
22,0.14,0,8.6616
23,0.17,0,8.3789
24,0.12,0,9.2809
25,0.15,0,9.2476
26,0.12,0,9.2058
27,0.02,0,9.2058
28,0.10,0,9.2480
29,0.15,0,9.1338
30,0.26,0,8.7146
31,1.06,0,8.6163
32,0.02,0,6.9254
33,0.34,0,8.5929
34,0.02,0,8.5723
35,0.05,0,8.5723
36,0.12,0,8.9977
37,0.07,0,9.5355
38,2.34,2015,8.9154
39,9.43,5157,8.5362
40,0.05,0,8.6209
