elapsed_s,err_x_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.000,-60,-18,1400,1441,-0.85,-0.62,3.0556,4.0275,6.1318,1
0.018,-60,-18,1491,1495,-0.85,-0.62,3.0556,4.0275,6.1318,1
0.036,-60,-17,1491,1498,-0.85,-0.62,3.0556,4.0275,6.1318,1
0.053,-60,-17,1491,1495,-0.85,-0.62,3.0556,4.0275,6.1318,1
0.071,-59,-17,1497,1495,-0.85,-0.62,3.0556,4.0275,6.1318,1
0.090,-58,-17,1498,1495,-0.85,-0.62,3.0556,4.0275,6.1318,1
0.108,-57,-18,1497,1492,-0.85,-0.62,3.0556,4.0275,6.1318,1
0.126,-56,-17,1497,1498,-0.56,-0.78,3.0556,4.0275,6.1318,1
0.144,-56,-17,1492,1495,-0.56,-0.78,3.0556,4.0275,6.1318,1
0.164,-55,-18,1498,1492,-0.56,-0.78,3.0556,4.0275,6.1318,1
0.182,-54,-18,1498,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.199,-54,-18,1492,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.217,-53,-18,1498,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.234,-52,-18,1498,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.251,-52,-18,1493,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.268,-51,-18,1499,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.286,-50,-18,1499,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.303,-50,-18,1493,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.321,-49,-18,1498,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.338,-48,-18,1499,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.358,-47,-18,1499,1495,-0.56,-0.78,2.9901,3.9629,6.5367,1
0.376,-44,-18,1509,1495,-0.85,-0.86,2.9901,3.9629,6.5367,1
0.394,-44,-18,1494,1495,-0.85,-0.86,2.9901,3.9629,6.5367,1
0.412,-43,-18,1499,1495,-0.85,-0.86,2.9901,3.9629,6.5367,1
0.429,-41,-18,1505,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.448,-41,-18,1494,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.465,-40,-19,1500,1492,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.482,-39,-19,1500,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.499,-38,-19,1500,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.516,-37,-18,1500,1498,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.534,-37,-18,1495,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.551,-36,-18,1500,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.569,-35,-18,1500,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.586,-34,-18,1500,1495,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.604,-33,-19,1500,1492,-0.85,-0.86,2.9135,4.3354,4.8937,1
0.621,-32,-18,1500,1498,-1.06,-0.82,2.9135,4.3354,4.8937,1
0.639,-31,-19,1500,1492,-1.06,-0.82,2.9135,4.3354,4.8937,1
0.657,-30,-19,1501,1495,-1.06,-0.82,2.9135,4.3354,4.8937,1
0.675,-29,-19,1500,1495,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.692,-29,-20,1496,1491,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.710,-28,-19,1501,1497,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.729,-28,-19,1496,1495,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.746,-28,-19,1496,1495,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.764,-28,-19,1496,1495,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.781,-29,-20,1490,1491,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.798,-28,-20,1501,1494,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.816,-28,-20,1496,1494,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.834,-28,-20,1496,1494,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.852,-27,-20,1501,1494,-1.06,-0.82,3.2223,3.9751,6.3211,1
0.874,-26,-20,1501,1494,-1.29,-1.72,3.2223,3.9751,6.3211,1
0.892,-25,-20,1501,1494,-1.29,-1.72,3.2223,3.9751,6.3211,1
0.911,-24,-20,1501,1494,-1.29,-1.72,3.2223,3.9751,6.3211,1
0.932,-22,-21,1506,1491,-1.29,-1.72,3.2315,3.6493,7.5667,1
0.949,-19,-21,1513,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
0.967,-17,-21,1508,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
0.986,-15,-21,1508,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.004,-13,-21,1509,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.021,-11,-21,1509,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.039,-9,-21,1510,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.056,-6,-21,1516,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.074,-4,-21,1510,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.091,-1,-21,1516,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.109,0,-21,1505,1494,-1.29,-1.72,3.2315,3.6493,7.5667,1
1.127,1,-21,1505,1494,-1.00,-1.59,3.2315,3.6493,7.5667,1
1.145,2,-21,1505,1494,-1.00,-1.59,3.2315,3.6493,7.5667,1
1.163,2,-21,1500,1494,-1.00,-1.59,3.2315,3.6493,7.5667,1
1.181,3,-21,1505,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.200,4,-21,1505,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.218,5,-21,1506,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.237,6,-21,1505,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.257,6,-21,1500,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.274,6,-21,1500,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.292,8,-21,1512,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.309,8,-21,1501,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.327,8,-21,1501,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.344,8,-21,1501,1494,-1.00,-1.59,2.9913,3.8793,5.6459,1
1.362,8,-21,1501,1494,-0.65,-1.35,2.9913,3.8793,5.6459,1
1.380,8,-20,1501,1497,-0.65,-1.35,2.9913,3.8793,5.6459,1
1.397,9,-21,1507,1491,-0.65,-1.35,2.9913,3.8793,5.6459,1
1.414,9,-21,1501,1494,-0.65,-1.35,2.9913,3.8793,5.6459,1
1.433,10,-21,1506,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.451,11,-21,1507,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.468,11,-21,1501,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.486,12,-21,1507,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.505,13,-21,1507,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.522,14,-20,1507,1497,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.539,15,-20,1507,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.557,16,-21,1508,1491,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.574,18,-21,1514,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.592,18,-21,1502,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.609,19,-21,1508,1494,-0.65,-1.35,2.7903,4.1974,4.6565,1
1.627,21,-21,1514,1494,-0.21,-1.48,2.7903,4.1974,4.6565,1
1.644,22,-21,1509,1494,-0.21,-1.48,2.7903,4.1974,4.6565,1
1.661,24,-21,1514,1494,-0.21,-1.48,2.7903,4.1974,4.6565,1
1.679,26,-20,1515,1497,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.696,30,-21,1527,1491,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.715,31,-21,1509,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.733,33,-21,1516,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.751,35,-21,1516,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.768,37,-21,1517,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.785,38,-21,1511,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.803,40,-21,1517,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.821,41,-21,1511,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.838,43,-21,1517,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.856,45,-21,1518,1494,-0.21,-1.48,3.2892,3.5769,7.3136,1
1.873,46,-21,1512,1494,-0.13,-1.81,3.2892,3.5769,7.3136,1
1.891,47,-21,1512,1494,-0.13,-1.81,3.2892,3.5769,7.3136,1
1.908,48,-21,1513,1494,-0.13,-1.81,3.2892,3.5769,7.3136,1
1.925,48,-21,1507,1494,-0.13,-1.81,3.5736,3.4195,7.7917,1
1.942,49,-21,1513,1494,-0.13,-1.81,3.5736,3.4195,7.7917,1
1.960,50,-21,1513,1494,-0.13,-1.81,3.5736,3.4195,7.7917,1
1.977,51,-21,1513,1494,-0.13,-1.81,3.5736,3.4195,7.7917,1
1.994,52,-21,1513,1494,-0.13,-1.81,3.5736,3.4195,7.7917,1
2.011,52,-21,1507,1494,-0.13,-1.81,3.5736,3.4195,7.7917,1
