attempt,align_time_s,total_abs_err_px,rms_vib
1,0.00,0,8.2533
2,1.00,4685,7.6721
3,3.94,38041,8.2540
4,5.69,44303,8.6798
5,2.20,13705,8.3751
6,2.06,15973,10.0672
7,0.07,226,9.0171
8,1.97,12294,10.4978
9,0.02,0,11.0823
10,0.02,0,11.0823
11,0.91,5868,8.9708
12,2.47,11481,9.9095
13,0.02,0,11.6430
14,3.23,23701,8.8874
15,2.03,16136,8.6755
16,2.94,19543,8.5314
17,0.09,260,8.0655
18,0.09,237,8.0655
19,0.14,356,11.1421
20,0.03,60,11.7411
21,0.05,132,11.7411
22,0.07,207,11.7411
23,0.12,401,11.7411
24,0.04,64,11.7411
25,0.02,0,13.3415
26,2.54,18975,8.8049
27,3.67,28455,10.5921
28,0.02,0,11.8573
29,0.02,0,11.8573
30,0.04,77,11.8573
31,0.04,82,10.8899
32,0.04,84,10.8899
