elapsed_s,err_x_px,err_y_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.018,-17,-28,-26,1500,1500,0.42,-0.51,2.5527,2.6581,6.9584,1
0.035,-17,-29,-26,1500,1500,0.42,-0.51,2.5527,2.6581,6.9584,1
0.053,-16,-29,-26,1500,1500,0.42,-0.51,2.5527,2.6581,6.9584,1
0.071,-16,-30,-26,1500,1500,0.42,-0.51,2.5527,2.6581,6.9584,1
0.089,-16,-30,-26,1500,1500,0.29,-0.41,2.5527,2.6581,6.9584,1
0.107,-15,-30,-26,1500,1500,0.29,-0.41,2.5527,2.6581,6.9584,1
0.126,-15,-30,-26,1500,1500,0.29,-0.41,2.5527,2.6581,6.9584,1
0.147,-15,-30,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.167,-13,-31,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.185,-12,-31,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.202,-12,-32,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.219,-12,-31,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.236,-11,-31,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.253,-11,-30,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.271,-11,-30,-26,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.289,-10,-30,-27,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.307,-9,-31,-28,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.325,-8,-32,-27,1500,1500,0.29,-0.41,2.4099,2.7647,7.4087,1
0.343,-8,-32,-26,1500,1500,0.38,-0.42,2.4099,2.7647,7.4087,1
0.361,-8,-32,-26,1500,1500,0.38,-0.42,2.4099,2.7647,7.4087,1
0.379,-9,-31,-26,1500,1500,0.38,-0.42,2.4099,2.7647,7.4087,1
0.397,-8,-30,-26,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.416,-8,-30,-27,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.435,-6,-34,-27,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.452,-5,-34,-26,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.469,-4,-34,-26,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.487,-4,-34,-26,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.504,-4,-34,-25,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.521,-3,-33,-25,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.538,-3,-33,-25,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.556,-2,-32,-25,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.573,0,-32,-24,1500,1500,0.38,-0.42,2.1789,2.7866,7.0280,1
0.590,0,-32,-24,1500,1500,0.33,-0.31,2.1789,2.7866,7.0280,1
0.608,0,-32,-25,1500,1500,0.33,-0.31,2.1789,2.7866,7.0280,1
0.626,0,-32,-25,1500,1500,0.33,-0.31,2.1789,2.7866,7.0280,1
0.643,1,-32,-26,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.661,0,-32,-25,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.683,0,-30,-24,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.701,0,-30,-25,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.719,0,-28,-25,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.736,0,-28,-26,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.753,0,-27,-25,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.771,0,-28,-25,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.788,-1,-29,-25,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.806,-1,-28,-24,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.823,-2,-26,-25,1500,1500,0.33,-0.31,2.6194,2.6699,6.9638,1
0.840,-2,-26,-25,1500,1500,0.60,-0.15,2.6194,2.6699,6.9638,1
0.857,-1,-26,-25,1500,1500,0.60,-0.15,2.6194,2.6699,6.9638,1
0.876,-1,-25,-25,1500,1500,0.60,-0.15,2.6194,2.6699,6.9638,1
0.896,0,-25,-25,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
0.915,1,-24,-25,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
0.932,2,-24,-25,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
0.950,2,-23,-24,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
0.967,3,-23,-25,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
0.985,3,-23,-25,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
1.002,4,-22,-25,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
1.019,4,-21,-24,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
1.036,5,-21,-24,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
1.053,5,-21,-24,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
1.071,6,-21,-25,1500,1500,0.60,-0.15,2.5303,2.9767,7.3817,1
