elapsed_s,err_x_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.018,2,-30,1500,1500,-0.21,0.72,2.8104,2.8203,5.7036,1
0.036,1,-29,1500,1500,-0.21,0.72,2.8104,2.8203,5.7036,1
0.053,-1,-29,1500,1500,-0.21,0.72,2.8104,2.8203,5.7036,1
0.071,-2,-29,1500,1500,-0.21,0.72,2.8104,2.8203,5.7036,1
0.088,-3,-29,1500,1500,-0.21,0.72,2.8104,2.8203,5.7036,1
0.106,-5,-29,1500,1500,-0.73,1.68,2.8104,2.8203,5.7036,1
0.126,-6,-29,1500,1500,-0.73,1.68,2.8104,2.8203,5.7036,1
0.143,-8,-28,1500,1500,-0.73,1.68,2.8104,2.8203,5.7036,1
0.161,-10,-28,1500,1500,-0.73,1.68,2.8104,2.8203,5.7036,1
0.179,-11,-27,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.197,-13,-27,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.216,-14,-27,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.235,-16,-27,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.252,-20,-26,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.269,-22,-26,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.287,-24,-26,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.305,-26,-26,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.323,-28,-26,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.340,-31,-25,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.357,-33,-25,1500,1500,-0.73,1.68,2.7518,3.2449,5.4596,1
0.375,-33,-25,1500,1500,-0.79,1.96,2.7518,3.2449,5.4596,1
0.396,-35,-25,1500,1500,-0.79,1.96,2.7518,3.2449,5.4596,1
0.413,-38,-25,1500,1500,-0.79,1.96,2.7518,3.2449,5.4596,1
0.430,-42,-24,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.447,-44,-24,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.466,-45,-24,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.484,-48,-23,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.502,-49,-23,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.519,-50,-23,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.537,-51,-23,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.555,-52,-24,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.572,-53,-23,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.591,-54,-23,1500,1500,-0.79,1.96,3.1139,3.0637,8.2652,1
0.609,-55,-23,1500,1500,-0.41,2.05,3.1139,3.0637,8.2652,1
0.627,-55,-23,1500,1500,-0.41,2.05,3.1139,3.0637,8.2652,1
0.644,-55,-22,1500,1500,-0.41,2.05,3.1139,3.0637,8.2652,1
0.662,-55,-22,1500,1500,-0.41,2.05,3.1139,3.0637,8.2652,1
0.681,-55,-22,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.699,-55,-22,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.718,-53,-23,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.735,-52,-23,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.752,-51,-22,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.770,-49,-21,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.787,-48,-21,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.804,-47,-21,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.822,-45,-21,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.839,-44,-21,1500,1500,-0.41,2.05,2.9368,3.8628,7.0207,1
0.856,-42,-21,1500,1500,-0.53,1.94,2.9368,3.8628,7.0207,1
0.874,-41,-21,1500,1500,-0.53,1.94,2.9368,3.8628,7.0207,1
0.891,-39,-21,1500,1500,-0.53,1.94,2.9368,3.8628,7.0207,1
0.909,-37,-20,1500,1500,-0.53,1.94,2.9368,3.8628,7.0207,1
0.927,-35,-21,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
0.945,-33,-20,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
0.962,-31,-21,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
0.979,-29,-20,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
0.998,-27,-21,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
1.015,-24,-21,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
1.034,-22,-20,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
1.052,-17,-20,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
1.070,-14,-21,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
1.087,-11,-21,1500,1500,-0.53,1.94,2.6636,3.7010,5.9822,1
1.104,-9,-21,1500,1500,-0.43,1.64,2.6636,3.7010,5.9822,1
1.123,-6,-21,1500,1500,-0.43,1.64,2.6636,3.7010,5.9822,1
1.140,-2,-21,1500,1500,-0.43,1.64,2.6636,3.7010,5.9822,1
1.158,1,-21,1500,1500,-0.43,1.64,2.6636,3.7010,5.9822,1
1.176,4,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.194,8,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.211,11,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.229,15,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.247,19,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.264,22,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.282,30,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.299,33,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.316,37,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.334,40,-20,1500,1500,-0.43,1.64,3.2436,2.6976,8.0230,1
1.353,43,-21,1500,1500,-0.53,1.50,3.2436,2.6976,8.0230,1
1.370,46,-20,1500,1500,-0.53,1.50,3.2436,2.6976,8.0230,1
1.388,48,-20,1500,1500,-0.53,1.50,3.2436,2.6976,8.0230,1
1.406,50,-20,1500,1500,-0.53,1.50,3.2436,2.6976,8.0230,1
1.425,52,-21,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,1
1.443,54,-21,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,1
1.460,56,-20,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,1
1.477,58,-20,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,1
1.495,60,-20,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,1
1.513,63,-21,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,0
1.531,63,-21,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,0
1.548,67,-21,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,0
1.566,70,-21,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,0
1.583,73,-21,1500,1500,-0.53,1.50,2.5941,2.7854,5.5227,0
1.600,75,-21,1500,1500,0.46,1.03,2.5941,2.7854,5.5227,0
1.617,75,-21,1500,1500,0.46,1.03,2.5941,2.7854,5.5227,0
1.634,78,-21,1500,1500,0.46,1.03,2.5941,2.7854,5.5227,0
1.656,80,-21,1500,1500,0.46,1.03,2.5941,2.7854,5.5227,0
1.674,82,-21,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.691,84,-22,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.709,87,-22,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.726,88,-21,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.743,89,-21,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.761,89,-22,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.779,90,-22,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.796,90,-22,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.814,90,-22,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.835,91,-22,1500,1500,0.46,1.03,2.7281,2.6947,6.1643,0
1.853,90,-22,1500,1500,0.58,1.01,2.7281,2.6947,6.1643,0
1.870,90,-22,1500,1500,0.58,1.01,2.7281,2.6947,6.1643,0
1.889,89,-22,1500,1500,0.58,1.01,2.7281,2.6947,6.1643,0
1.907,88,-23,1500,1500,0.58,1.01,2.7281,2.6947,6.1643,0
1.924,86,-23,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
1.942,84,-23,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
1.959,82,-23,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
1.976,80,-23,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
1.994,78,-24,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
2.012,75,-24,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
2.029,72,-24,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
2.046,70,-24,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
2.066,68,-24,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
2.083,64,-24,1500,1500,0.58,1.01,2.7293,2.7136,6.0124,0
2.100,63,-24,1500,1500,0.42,0.37,2.7293,2.7136,6.0124,0
2.118,62,-25,1500,1500,0.42,0.37,2.7293,2.7136,6.0124,0
2.136,62,-25,1500,1500,0.42,0.37,2.7293,2.7136,6.0124,0
2.154,62,-25,1500,1500,0.42,0.37,2.7293,2.7136,6.0124,0
2.171,62,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,0
2.188,61,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,0
2.205,61,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,0
2.223,60,-24,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.240,59,-24,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.257,58,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.275,56,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.293,55,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.311,53,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.328,51,-25,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.346,49,-26,1500,1500,0.42,0.37,2.8614,2.7463,6.5132,1
2.366,46,-26,1500,1500,0.09,0.08,2.8614,2.7463,6.5132,1
2.383,44,-27,1500,1500,0.09,0.08,2.8614,2.7463,6.5132,1
2.401,43,-26,1500,1500,0.09,0.08,2.8614,2.7463,6.5132,1
2.418,40,-26,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.437,40,-25,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.455,39,-25,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.472,38,-25,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.489,38,-25,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.506,38,-25,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.525,37,-25,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.543,37,-26,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.560,36,-26,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.578,35,-26,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.595,34,-26,1500,1500,0.09,0.08,2.8505,3.1305,6.9171,1
2.612,33,-26,1500,1500,-0.02,0.26,2.8505,3.1305,6.9171,1
2.629,33,-27,1500,1500,-0.02,0.26,2.8505,3.1305,6.9171,1
2.647,32,-27,1500,1500,-0.02,0.26,2.8505,3.1305,6.9171,1
2.664,31,-27,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.681,30,-26,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.699,30,-25,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.717,29,-25,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.734,29,-25,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.752,29,-25,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.770,29,-25,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.788,30,-25,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.805,30,-26,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.823,31,-27,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.841,31,-26,1500,1500,-0.02,0.26,2.8651,2.8302,6.9759,1
2.859,32,-25,1500,1500,0.03,0.76,2.8651,2.8302,6.9759,1
2.877,32,-25,1500,1500,0.03,0.76,2.8651,2.8302,6.9759,1
2.894,33,-25,1500,1500,0.03,0.76,2.8651,2.8302,6.9759,1
2.911,33,-25,1500,1500,0.03,0.76,2.5721,3.2435,5.7705,1
2.929,33,-25,1500,1500,0.03,0.76,2.5721,3.2435,5.7705,1
2.946,33,-26,1500,1500,0.03,0.76,2.5721,3.2435,5.7705,1
2.965,32,-25,1500,1500,0.03,0.76,2.5721,3.2435,5.7705,1
2.982,32,-25,1500,1500,0.03,0.76,2.5721,3.2435,5.7705,1
