attempt,align_time_s,total_abs_err_x_px,total_abs_err_y_px,total_abs_err_pitch_px,mean_vib_x,mean_vib_y,mean_vib_z
1,2.29,0,0,0,2.3818,2.8365,7.2164
2,2.38,1,11,93,2.3818,2.8365,7.2164
3,5.66,1470,1648,6108,2.4795,2.8809,7.0215
4,5.70,0,0,0,2.4847,2.4471,7.0683
5,5.87,0,0,0,2.4847,2.4471,7.0683
6,12.26,15348,3690,4862,2.6815,2.9894,6.9184
7,14.89,12170,3690,2316,2.3524,2.3656,6.7497
8,16.78,0,0,0,2.6576,2.8848,7.0113
9,16.85,0,0,0,2.6576,2.8848,7.0113
10,17.02,20,20,62,2.4407,3.1790,7.3506
11,18.66,1173,951,2830,2.4249,2.9521,6.7941
12,18.69,0,0,0,2.3534,2.9471,7.3422
13,18.77,75,41,62,2.3534,2.9471,7.3422
14,19.29,808,276,806,2.4340,3.0480,6.5590
15,19.36,24,11,31,2.4057,2.7544,7.0946
16,19.41,28,10,31,2.4095,2.6473,7.0373
17,25.85,37772,3314,10167,2.5680,3.8154,6.7729
18,27.42,0,0,0,2.2079,2.3133,6.7990
19,27.49,0,0,0,2.2079,2.3133,6.7990
20,28.77,1431,1157,2183,2.4656,2.3506,6.4931
21,28.98,3,10,31,2.2495,3.0612,6.7817
22,29.04,0,0,0,2.2495,3.0612,6.7817
23,29.16,9,10,62,2.2854,2.5572,7.3911
24,29.76,0,0,0,2.6548,3.2154,7.1206
