attempt,align_time_s,total_abs_err_px,rms_vib
1,0.02,0,7.6173
2,1.05,5638,8.0985
3,0.64,3147,7.5378
4,4.92,18758,8.4208
5,0.56,2934,8.4543
6,5.68,34866,9.1714
7,0.02,0,14.1836
8,0.09,285,14.1836
9,2.29,7641,12.7055
10,0.14,346,11.7213
11,0.09,234,11.7213
12,0.09,248,11.7213
13,0.05,177,7.7339
14,0.02,0,7.7339
15,0.05,179,7.7339
16,0.03,91,7.7339
17,0.02,0,9.0903
18,3.05,10558,8.3813
19,0.06,181,8.1951
20,2.62,17220,8.6482
21,0.82,5398,8.1241
22,5.34,30537,7.4646
23,2.80,29229,9.2560
24,3.00,27755,7.7983
25,6.29,25405,7.7146
