elapsed_s,err_x_px,err_y_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.000,3,-10,-27,1500,1499,-0.10,-0.57,2.4604,3.4231,8.9066,1
0.018,3,-12,-26,1500,1499,-0.10,-0.57,2.4604,3.4231,8.9066,1
0.035,2,-14,-26,1500,1499,-0.10,-0.57,2.4604,3.4231,8.9066,1
0.052,1,-14,-27,1500,1499,-0.10,-0.57,2.4604,3.4231,8.9066,1
0.071,0,-16,-27,1500,1499,-0.10,-0.57,2.4604,3.4231,8.9066,1
0.089,-1,-17,-26,1500,1499,-0.10,-0.57,2.4604,3.4231,8.9066,1
0.106,-2,-18,-26,1500,1499,-0.10,-0.57,2.4604,3.4231,8.9066,1
0.124,-3,-19,-26,1500,1499,-0.25,-1.11,2.4604,3.4231,8.9066,1
0.141,-3,-20,-26,1500,1499,-0.25,-1.11,2.4604,3.4231,8.9066,1
0.159,-3,-21,-27,1500,1499,-0.25,-1.11,2.4604,3.4231,8.9066,1
0.176,-3,-21,-27,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.194,-3,-23,-27,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.212,-5,-24,-26,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.231,-6,-24,-27,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.248,-6,-23,-28,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.266,-7,-25,-28,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.283,-7,-26,-29,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.300,-8,-27,-30,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.317,-8,-27,-29,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.334,-9,-27,-28,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.352,-11,-27,-28,1500,1499,-0.25,-1.11,2.4256,3.8721,8.6897,1
0.373,-12,-27,-28,1500,1499,-0.43,-1.29,2.4256,3.8721,8.6897,1
0.393,-13,-27,-28,1500,1499,-0.43,-1.29,2.4256,3.8721,8.6897,1
0.410,-13,-27,-28,1500,1499,-0.43,-1.29,2.4256,3.8721,8.6897,1
