elapsed_s,err_x_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.002,-76,-32,1400,1400,-1.28,-0.40,2.9999,3.5928,7.4567,0
0.019,-75,-32,1495,1491,-1.28,-0.40,2.9999,3.5928,7.4567,0
0.036,-74,-32,1495,1491,-1.28,-0.40,2.9999,3.5928,7.4567,0
0.053,-73,-32,1495,1491,-1.28,-0.40,2.9999,3.5928,7.4567,0
0.070,-72,-32,1496,1491,-1.28,-0.40,2.9999,3.5928,7.4567,0
0.088,-71,-33,1495,1488,-1.28,-0.40,2.9999,3.5928,7.4567,0
0.107,-71,-32,1490,1494,-1.28,-0.40,2.9999,3.5928,7.4567,0
0.125,-71,-32,1490,1491,-1.57,-0.24,2.9999,3.5928,7.4567,0
0.144,-70,-32,1496,1491,-1.57,-0.24,2.9999,3.5928,7.4567,0
0.162,-69,-32,1495,1491,-1.57,-0.24,2.9999,3.5928,7.4567,0
0.179,-69,-33,1490,1488,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.197,-68,-32,1496,1494,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.217,-67,-32,1495,1491,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.234,-65,-32,1501,1491,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.253,-64,-32,1496,1491,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.270,-63,-32,1497,1491,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.288,-63,-32,1491,1491,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.305,-62,-32,1497,1491,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.323,-60,-32,1501,1491,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.342,-57,-31,1508,1494,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.361,-56,-32,1497,1488,-1.57,-0.24,2.7348,3.6391,6.8203,0
0.378,-55,-31,1498,1494,-1.41,-0.19,2.7348,3.6391,6.8203,0
0.396,-54,-31,1498,1491,-1.41,-0.19,2.7348,3.6391,6.8203,0
0.415,-53,-32,1498,1488,-1.41,-0.19,2.7348,3.6391,6.8203,0
0.434,-52,-32,1498,1491,-1.41,-0.19,2.7618,3.5771,6.4502,0
