attempt,align_time_s,total_abs_err_x_px,total_abs_err_y_px,total_abs_err_pitch_px,mean_vib_x,mean_vib_y,mean_vib_z
1,0.24,353,923,189,0.0000,0.0000,0.0000
2,0.02,32,48,30,0.0000,0.0000,0.0000
3,0.02,32,43,30,0.0000,0.0000,0.0000
4,0.81,1510,1870,1465,0.0000,0.0000,0.0000
5,0.66,396,2568,1006,0.0000,0.0000,0.0000
6,0.33,318,1112,364,0.0000,0.0000,0.0000
7,0.61,965,2233,584,0.0000,0.0000,0.0000
8,0.22,425,737,250,0.0000,0.0000,0.0000
9,0.09,112,303,96,0.0000,0.0000,0.0000
10,0.19,266,712,193,0.0000,0.0000,0.0000
11,1.98,9759,4989,1149,0.0000,0.0000,0.0000
12,0.25,858,728,190,0.0000,0.0000,0.0000
13,0.16,411,554,104,0.0000,0.0000,0.0000
14,1.49,5439,4837,1389,0.0000,0.0000,0.0000
15,0.32,727,1179,239,0.0000,0.0000,0.0000
16,0.91,3539,2408,906,0.0000,0.0000,0.0000
17,0.73,1295,2743,766,0.0000,0.0000,0.0000
18,0.14,377,491,128,0.0000,0.0000,0.0000
19,0.87,1397,3244,484,0.0000,0.0000,0.0000
20,0.53,2058,873,521,0.0000,0.0000,0.0000
21,0.36,274,1252,146,0.0000,0.0000,0.0000
22,2.20,11123,6228,1430,0.0000,0.0000,0.0000
23,0.48,1819,1443,461,0.0000,0.0000,0.0000
24,0.21,182,752,175,0.0000,0.0000,0.0000
25,0.10,94,365,88,0.0000,0.0000,0.0000
26,1.09,3450,3948,418,0.0000,0.0000,0.0000
27,0.44,1016,1559,224,0.0000,0.0000,0.0000
28,2.05,2563,7818,2177,0.0000,0.0000,0.0000
29,2.21,7147,9025,3166,0.0000,0.0000,0.0000
30,1.14,446,4193,1488,0.0000,0.0000,0.0000
31,1.03,3801,1819,417,0.0000,0.0000,0.0000
32,0.38,289,1311,228,0.0000,0.0000,0.0000
33,17.51,50682,71215,22589,0.0000,0.0000,0.0000
34,0.05,20,182,65,0.0000,0.0000,0.0000
35,8.42,35751,24858,8551,0.0000,0.0000,0.0000
36,0.38,427,1324,315,0.0000,0.0000,0.0000
37,0.02,28,60,14,0.0000,0.0000,0.0000
38,2.44,8425,9509,3944,0.0000,0.0000,0.0000
39,2.57,7167,9838,3176,0.0000,0.0000,0.0000
40,0.23,2,802,202,0.0000,0.0000,0.0000
41,0.29,195,1011,237,0.0000,0.0000,0.0000
