attempt,align_time_s,total_abs_err_px,rms_vib
1,0.09,430,9.7003
2,0.27,1291,9.4762
3,0.34,1481,9.1034
4,0.21,685,10.6464
5,1.14,5501,9.5183
6,4.12,26229,9.4961
7,4.16,27727,9.9587
8,0.11,357,10.7770
9,0.54,2439,11.6011
10,1.06,5366,10.1256
11,0.59,2895,8.5981
12,0.61,2949,8.3521
13,2.64,14550,9.8447
14,2.43,16666,8.9362
15,0.24,967,8.3373
16,1.91,16003,9.0068
17,0.82,4086,10.5148
18,0.97,4856,10.2523
19,0.79,3255,9.0605
20,2.17,11434,9.3053
21,0.54,2265,10.3151
22,2.37,14785,8.4590
23,2.35,18221,11.9203
24,0.89,3537,8.6514
25,3.66,20015,10.0854
26,2.31,13610,9.3912
27,2.72,15614,9.1417
28,0.65,4470,8.0494
29,2.04,15685,10.5971
30,0.18,739,8.4937
31,0.29,1136,7.9343
